	TCGA-55-6971-11A	TCGA-91-6847-11A	TCGA-55-6970-11A	TCGA-55-6983-11A	TCGA-44-6778-11A	TCGA-49-4490-11A	TCGA-55-6982-11A	TCGA-50-5930-11A	TCGA-55-6978-11A	TCGA-49-6761-11A	TCGA-55-6979-11A	TCGA-44-6145-11A	TCGA-38-4625-11A	TCGA-50-5931-11A	TCGA-73-4676-11A	TCGA-50-5939-11A	TCGA-44-6777-11A	TCGA-44-3396-11A	TCGA-50-5935-11A	TCGA-49-6744-11A	TCGA-38-4626-11A	TCGA-49-6742-11A	TCGA-44-6144-11A	TCGA-55-6986-11A	TCGA-91-6836-11A	TCGA-44-6146-11A	TCGA-91-6829-11A	TCGA-55-6981-11A	TCGA-91-6835-11A	TCGA-50-6595-11A	TCGA-55-6968-11A	TCGA-44-6148-11A	TCGA-49-4512-11A	TCGA-44-2668-11A	TCGA-55-6984-11A	TCGA-49-6745-11A	TCGA-55-6969-11A	TCGA-38-4627-11A	TCGA-91-6831-11A	TCGA-44-2665-11A	TCGA-50-5933-11A	TCGA-91-6849-11A	TCGA-55-6972-11A	TCGA-44-2662-11A	TCGA-50-5936-11A	TCGA-50-5932-11A	TCGA-44-2661-11A	TCGA-44-2657-11A	TCGA-38-4632-11A	TCGA-44-6147-11A	TCGA-91-6828-11A	TCGA-49-6743-11A	TCGA-55-6975-11A	TCGA-44-6776-11A	TCGA-44-5645-11A	TCGA-55-6985-11A	TCGA-55-6980-11A	TCGA-44-2655-11A
TSPAN6	15.2087	32.8511	21.5216	24.6353	21.6142	29.3682	26.9996	10.3778	40.4801	20.3353	15.2838	16.075	19.7106	12.989	18.393	18.6401	15.8652	27.3815	31.0999	34.0823	23.2615	30.399	13.0267	66.6818	18.2833	15.3232	13.502	28.4311	56.9023	19.8138	12.6914	47.8267	29.324	12.4196	23.1411	43.453	12.1888	19.4877	13.4053	20.588	21.6941	35.3706	16.2517	15.9724	16.8907	18.5908	23.2713	15.0703	18.0319	15.2206	32.849	28.725	15.658	30.613	22.2946	33.2941	19.5642	27.6855
TNMD	0.0662	0	0	0.0844	0.1938	0.1184	0.0873	0	0.2488	0	0	0.1273	0.274	0.0692	0.0687	0.4146	0.1415	0.0322	0.5627	0.1548	0.0302	0.2214	0	0.0909	0	0.0859	0.1064	0	0.2787	0.0394	0.0712	0.1875	0.1194	0.0775	0.1729	0.1835	0.073	0.0487	0	0.0725	0	0.0834	0.0872	0.3068	0	0.0919	0.4101	0.0526	0.0725	0.0551	0.139	7.3736	0.1887	0.1568	0.1588	0	0	0.2385
DPM1	65.6557	66.812	80.8797	75.8609	95.2925	121.4483	75.4058	61.602	88.1325	61.269	65.4991	77.2263	73.8507	79.6076	77.521	70.0511	56.5074	65.4794	69.693	79.7094	102.1729	66.4606	69.7105	76.7356	68.3401	75.8701	51.3271	73.193	75.0582	75.2805	61.7081	66.0468	95.3768	60.5576	66.5358	117.6686	67.3258	101.4818	108.8633	61.232	87.5509	80.6319	65.978	52.5223	67.5265	69.5289	64.6354	60.4926	96.5034	83.3412	79.609	87.81	76.1511	87.1473	71.7415	74.294	67.8133	63.5433
SCYL3	9.0148	7.4712	6.8832	5.8099	6.7341	5.2576	8.8966	5.5428	6.527	5.5839	5.9687	4.191	3.9687	4.0797	3.3875	4.9492	4.082	5.9206	6.2227	6.9225	4.0168	4.9015	6.0924	7.2157	6.5677	7.4262	4.6315	6.1483	7.5597	8.2349	6.0897	7.289	4.6231	3.4318	5.7411	6.2966	5.4803	3.6051	5.3564	4.463	3.542	6.7033	6.9158	3.2236	7.179	8.0955	5.9476	6.0424	4.1218	3.4262	5.2742	4.9357	7.0006	6.2709	7.6414	7.107	7.2185	5.8674
C1orf112	1.7022	1.1159	1.5036	1.1477	1.6774	1.4495	1.8787	1.2712	1.8249	1.1988	1.743	1.0545	1.2116	0.6157	1.2905	1.5888	0.9972	1.3684	1.0732	2.0288	1.2379	1.1631	1.4292	1.5139	1.1218	1.5509	1.9202	2.406	1.6536	1.412	1.6189	1.9242	0.8711	1.2933	1.317	1.3158	1.3178	1.4698	1.1122	1.4522	1.0989	1.1747	1.4654	0.7802	1.335	1.794	1.7111	1.8716	1.327	1.294	1.5631	1.6015	1.5163	1.3568	1.4923	1.847	1.8761	1.39
FGR	83.8172	49.7279	89.139	73.0813	115.4216	35.9775	83.8984	167.6023	77.0956	96.8307	123.1132	99.5484	166.6944	80.3723	101.1039	69.0303	90.3032	139.7078	63.6727	91.1872	227.1721	51.1579	130.5943	64.5096	102.6751	57.5673	234.3741	71.4239	32.2909	70.9057	115.4886	62.325	45.4548	209.3253	46.6767	43.2762	66.1881	80.2193	77.8077	60.8278	88.4167	67.0122	98.8664	84.963	112.2652	76.0057	72.604	67.773	79.1701	113.2997	77.5634	49.534	53.9432	72.6396	82.6808	113.203	62.67	47.8095
CFH	35.5225	29.9065	50.6206	29.7861	32.89	34.4714	52.9396	45.6365	41.2641	19.8795	27.9427	30.4853	30.7179	16.4811	19.576	40.7714	68.1921	60.3939	54.0742	55.7282	16.2964	53.1179	16.5723	39.5799	23.6526	63.7198	11.5319	26.9025	168.449	29.4531	33.477	74.7412	49.5964	39.7056	30.8118	46.548	34.885	59.6402	30.3043	43.5714	37.9496	57.4329	33.4527	38.4238	24.8748	57.6112	93.4392	20.5358	28.8575	40.0995	36.2518	67.1597	53.2101	26.1161	35.1095	28.6383	35.2876	35.0286
FUCA2	52.8392	54.2948	49.6586	48.8243	46.4015	56.591	54.2252	50.0064	44.9393	59.2205	51.5278	48.0142	44.387	41.7562	69.7617	46.7676	49.0779	51.3504	44.8178	53.1229	48.528	64.5518	60.1143	42.3498	58.341	49.4847	61.9919	54.0183	49.8857	44.9705	53.3821	40.24	59.0353	61.0035	54.51	47.8005	44.1869	62.4184	42.847	53.4222	44.8604	44.6022	46.9566	43.1178	45.262	53.5673	50.893	44.6803	74.4705	39.4497	40.627	52.1188	48.856	43.1786	56.2182	49.3213	43.8629	46.3543
GCLC	5.1703	8.164	9.0563	5.3485	6.7838	6.8566	10.8752	5.6169	13.8491	6.7972	11.1964	5.408	6.6939	5.6281	9.9045	6.2724	5.7811	11.2375	9.6645	10.2887	14.0723	7.2418	7.6253	16.4064	8.3799	6.4904	12.5278	7.76	13.3045	7.346	4.6809	16.477	8.786	7.1475	7.2571	7.8682	4.1394	7.2109	6.4475	6.4397	6.7482	11.2073	6.7028	4.0458	8.7053	7.6613	8.517	6.6176	9.2797	7.7753	8.2106	6.1137	3.9591	8.3115	6.3932	12.2618	5.6486	7.6041
NFYA	19.5378	17.9096	30.8502	17.9788	34.4098	17.2941	26.2501	16.0388	20.493	20.9349	24.0778	22.4862	15.2905	18.568	15.4282	24.7287	16.0331	20.651	20.8586	22.5167	19.2873	16.3977	18.0771	21.9434	19.3598	24.0292	15.6586	25.7345	22.0721	22.5153	16.4566	23.3512	12.6056	21.8958	17.1477	15.1391	19.2586	17.986	26.2258	17.0058	30.1479	22.89	24.2045	21.9135	24.398	24.5466	24.9385	20.6452	15.5629	26.118	30.8103	21.0048	23.8989	21.4066	21.9218	21.6436	21.4021	25.2718
