	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-44-8120-01A	0.0311935096824126	0	0.12886330386567	0.0492291646964947	0	0.128154104168744	0	0.00302462187401258	0.0230898416558576	0	0	0.00212055502775932	0.0168486102629774	0.0571775925156896	0.0139747077066919	0.191668355587793	0.125039364361918	0.0426013072941914	0.162340912119828	0	1.2278606885749e-05	0.0246617705730741
TCGA-99-8025-01A	0.0336314215933023	0	0.114273674145584	0.0259817699003817	0	0.186153638858074	0	0.0198714925348554	0.0513965135528717	0	0	0.0242443375367081	0	0.230800688801353	0.0877429119204311	0.183939720684325	0	0.00518257882587337	0.0364267373136571	0	0	0.000354514332583208
TCGA-50-6594-01A	0	0.00139190498390802	0.0578982342778973	0	0	0.0999038232013435	0	0.0261182569085716	0.000762616177070389	0	0	0.057678172768975	0.0259116968590873	0.191572481569105	0	0.235060059682378	0.134958152582161	0.0633589952790375	0.0951796813634509	0	0	0.0102059243470136
TCGA-78-7161-01A	0.0012007986069869	0	0.210730161390491	0	0	0.314260943427892	0	0	0.0721286107824874	0	0	0.029927059685222	0.00501955759323324	0.140739454775253	0.0577340208223544	0.0414932430784182	0	0.0606405846550429	0.0419091810218476	0	0	0.0242163841607716
TCGA-55-7903-01A	0.065245199441726	0	0.0227901493689506	0.198636169283665	0	0.0135296065446332	0.0640922915508586	0.0232310203565496	0.0494331795594746	0	0.055321636003299	0.00104494740222983	0.0139304510190114	0.084950271232322	0.139013315052571	0.1141007114081	0.0549599654518833	0.0698921286918984	0.021123397846502	0.00398047018511241	0	0.00472508960121235
TCGA-38-4632-01A	0.0246101750587093	0.00385988661094651	0	0	0	0.158153721851321	0.0484899124131188	0.020074592264525	0.0107393963964052	0.0282149037457522	0	0.0022447864466259	0.00997264261986975	0	0.0662756001110484	0.255792346299683	0.219487366978382	0.0589839075251088	0.0813885581178312	0	0	0.0117122035606737
TCGA-64-1677-01A	0.0440323469545647	0	0.199937954657443	0.0890010183484172	0	0.135755340899414	0.137453141530773	0.0361182877884177	0.00939826904664247	0	0.00289041818591133	0.0189085515490036	0.000790884406754994	0.0706442138707026	0.158879517466955	0.0532849556009943	0.0171733595212279	0.0107346461819914	0.0144755934501275	0	0	0.000521500540659272
TCGA-86-A456-01A	0.0256530949787009	0	0.0106713635985268	0.0582766196784403	0	0.141986718021905	0	0.0464095959806653	0.00527320408856606	0.00243568455557985	0	0.0184972166146164	0	0.15104387835192	0.0825432700152864	0.369663498309199	0	0.045308861067998	0	0.0361407207029912	0	0.00609627403560578
TCGA-44-A47A-01A	0.00826231340806487	0	0	0.0284268976450938	0	0.0846020128500373	0	0.0396162811852742	0.0746274206599878	0	0	0.0143205747445179	0.00594277816929779	0.160807817274631	0.0114470229501541	0.10916601918497	0.27327910069007	0.115282570417041	0.0714849645794843	0	0	0.00273422624137729
TCGA-91-6828-01A	0.00703733948925623	0	0.0880132827300514	0.0756398890242516	0	0.250902848642216	0.0158807007218691	0	0	0	0	0.0434671301222931	0.0251917825474964	0.00672552320631718	0.0653030869021977	0.258836649010837	0.0804954591846452	0	0.0575391812898566	0	0	0.0249671271287121
TCGA-MP-A4TA-01A	0.029085210677982	0	0.0887077025560503	0.164149524337991	0	0.125792372439782	0.018169774226249	0.0709226678853302	0.0667987146090611	0	0.0391803371629697	0.0208168894113617	0.0140016860556967	0.0930489874814615	0.0981088098766099	0.120236655590025	0.00197111667665027	0.0277241746875705	0.0211477036404313	0	0	0.000137672684778867
TCGA-55-7726-01A	0	0	0.137692384618831	0.0170544360442471	0	0.206108850881463	0.000542094027636708	0	0	0	0	0.0185048651115411	0.00489575448741814	0.101483619452341	0.0693885902183457	0.0864268381284918	0.239499362119033	0.0307964941438206	0.0467871241295636	0	0.0200931896914958	0.0207263969457719
TCGA-86-8359-01A	0	0	0.0861705416391119	0.297556229002122	0	0.0945605170302389	0.0504416354211282	0.0951318666332439	0.098996604515216	0	0	0.0259778215027607	0	0.103154673733218	0.0527451099532166	0.0315358028766977	0.0042608430932006	0	0	0.0127864456620645	0	0.0466819089377809
TCGA-55-5899-01A	0.0308385087618058	0	0.042463220995293	0.111843167218003	0	0.0214226534797547	0.0346124847343812	0.0434205156787616	0.0237282685318443	0.0265028733892556	0.010462941168682	0	0	0.275524173470365	0.082181904938572	0.255001968076876	0.00334097730290332	0	0.0386563422535013	0	0	0
TCGA-62-8397-01A	0.00873877182116623	0	0.0546387583616748	0.032259724530129	0	0.191539655896288	0	0.0111124332876482	0.0272660611662168	0	0	0.0223902667377867	0.122808661725228	0.0249438794454054	0	0.136694365610881	0.166449650395624	0.0233270157961222	0.177830755225829	0	0	0
TCGA-99-8032-01A	0.0248335429169522	0	0.347299283704271	0.0626086909313696	0	0.169481219088605	0	0	0.0952383465586421	0	0	0.0336609828972626	0	0.115660271838206	0.0214717033588024	0.0669072801129185	0.0115883782360439	0.00344693105406054	0.0317868501318361	0	0	0.0160165191710295
TCGA-MP-A4TC-01A	0.0157291111348983	0	0.0202057187243397	0.104853563771255	0	0.0603918078184412	0.0693229933750307	0.0176624528558261	0.0428153042511087	0	0.0295334472784155	0.0172971917028546	0	0.291252358566359	0.102521597356729	0.148540807916925	0.0238581069305662	0	0	0.0527066518016313	0	0.0033088865156191
