"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"SLC7A2",6151.44277762223,-1.23474276076517,0.169940672767085,-7.26572833130695,3.71033613464607e-13,4.61559015864322e-12,"DOWN"
"CRLF1",6794.34782630816,-1.76386494223975,0.213204129853684,-8.27312746451131,1.30490064224695e-16,2.31960326690122e-15,"DOWN"
"KRT33A",0.434875952501786,-1.16605349536827,0.482157625790148,-2.41840724484524,0.0155886193235076,0.0280646076338271,"DOWN"
"ABCC8",60.4272957290507,-1.41671089537788,0.20445091042717,-6.92934500716022,4.22793556665403e-12,4.5815269390879e-11,"DOWN"
"TAC1",18.6094887780914,-2.45182692101326,0.417523396250831,-5.87231025381941,4.29763474970687e-09,2.95163066974002e-08,"DOWN"
"DLX6",50.12703316578,-1.19638141118841,0.258418663930083,-4.62962462924929,3.66329191934221e-06,1.45691864573967e-05,"DOWN"
"SLC13A2",167.702097473393,-1.13791064595891,0.287198637384318,-3.96210321999614,7.42924068841617e-05,0.000227925746746628,"DOWN"
"SCN4A",105.078597326519,-1.5506178397457,0.190897311954377,-8.12278509252285,4.55605656497646e-16,7.67646365120494e-15,"DOWN"
"TKTL1",30.1154827657268,-1.70624180900194,0.231444321797707,-7.37214806459272,1.67900385043138e-13,2.17401022255069e-12,"DOWN"
"TFAP2B",11.1694219158132,-1.13464683525865,0.295390568638645,-3.84117489088379,0.000122446832065112,0.000358911740546299,"DOWN"
"TFAP2D",76.1580303017804,-1.03229007812456,0.333799303594887,-3.09254712938944,0.00198446719924615,0.00438196552092821,"DOWN"
"TENM1",502.456861774286,-1.84582762158564,0.205327307134601,-8.98968406757326,2.47942120255937e-19,5.36425353939405e-18,"DOWN"
"PAX7",566.185471040896,-1.81904424116323,0.359974520689795,-5.05325831860966,4.34335822098897e-07,2.08125727949998e-06,"DOWN"
"NA",NA,NA,NA,NA,NA,NA,NA
"NPC1L1",222.218789099078,-1.01737709130016,0.217776583606617,-4.67165511760398,2.98782333271013e-06,1.21194756357777e-05,"DOWN"
"CLCA1",5.51208181922404,-1.09398176653429,0.378845887123454,-2.88766964012941,0.00388107260641114,0.00803933403578985,"DOWN"
"CNTN1",509.58707702252,-1.03173121740645,0.172941973349871,-5.96576526462551,2.43490121002691e-09,1.73593261305419e-08,"DOWN"
"CPS1",12182.7119074871,-1.39550766332596,0.281828852205843,-4.95161390469245,7.3600519116429e-07,3.36664874552103e-06,"DOWN"
"GABRA1",1.13506997005205,-1.91439588318267,0.402470494825284,-4.75661174619453,1.96869282217914e-06,8.2168475643458e-06,"DOWN"
"MYO16",107.118280829753,-1.0545661169098,0.154096089567687,-6.8435618312467,7.7247959593271e-12,8.07204557133032e-11,"DOWN"
"GUCA2B",5.95464867150712,-1.64090444787475,0.378599236587791,-4.33414621398543,1.46326900636131e-05,5.16484179132964e-05,"DOWN"
"MAGEC2",73.0484547240984,-1.05866879750407,0.42752963353175,-2.47624659081194,0.0132771840746127,0.0243334951405599,"DOWN"
"FSTL4",971.796469876638,-1.40425642161346,0.183208375611234,-7.66480471718865,1.79103500693923e-14,2.59326367001649e-13,"DOWN"
"NPFFR2",40.1614201122876,-1.23918459419221,0.276915422669677,-4.47495694622394,7.64267114083999e-06,2.84169649721727e-05,"DOWN"
"F7",60.8792799279734,-1.60968898677448,0.205941025759772,-7.81626186834751,5.44151125711889e-15,8.27533724946263e-14,"DOWN"
"CAMK2B",136.837894314647,-1.38190168474904,0.195777307031571,-7.05853863096705,1.68262722640004e-12,1.91878902701346e-11,"DOWN"
"RIMBP2",168.436274996429,-1.86936920823701,0.229424781246004,-8.14807013472772,3.69777885960537e-16,6.25849907078286e-15,"DOWN"
"PAGE1",11.3545185072398,-2.81866815963088,0.466975894018474,-6.03600356192984,1.57977767107699e-09,1.16164499392852e-08,"DOWN"
"PLA2G10",286.962711626139,-1.23272423340164,0.166828620946896,-7.38916515886105,1.47753548970166e-13,1.93723617460114e-12,"DOWN"
"GUCY2C",37.0275913870419,-1.12170318055618,0.147998660572571,-7.57914413695763,3.47841902004072e-14,4.90012471875812e-13,"DOWN"
"TRPM5",23.6610071172456,-1.42121973934581,0.195907302556564,-7.25455213153916,4.02993043122627e-13,4.98126926082188e-12,"DOWN"
