"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"FGR",1068.33981407193,1.34685473204168,0.0713852195441826,18.8674173819423,2.11379621426462e-79,3.32807444289596e-77,"UP"
"MEOX1",52.3001458102025,1.08545943435917,0.11365988197237,9.55006652763403,1.29613029725728e-21,3.0974868940577e-20,"UP"
"ITGAL",1705.52267251611,1.53363566612444,0.0661698782260747,23.1772478239215,7.7245401687574e-119,9.64846564012258e-116,"UP"
"CCL26",28.6366066534974,1.02532992816527,0.148000664980349,6.92787379233331,4.27212600186743e-12,4.62406428486356e-11,"UP"
"NOS2",110.427711849504,1.15988578919042,0.136840927828715,8.47616139114652,2.32745828505382e-17,4.37823879806912e-16,"UP"
"DNAH9",289.340584659753,1.31027877409087,0.216713124170178,6.04614408614196,1.48353433076314e-09,1.09517333416778e-08,"UP"
"MATK",241.595375083028,1.30654694998499,0.0809811556839612,16.1339627589899,1.47260790292729e-58,1.14011494501015e-56,"UP"
"CD79B",193.320571331922,1.49034422177503,0.104720973145411,14.2315734566905,5.8353869323156e-46,3.05396116100182e-44,"UP"
"MMP25",144.400805713833,1.08147230290972,0.0812526249688372,13.3099983332785,2.0248625626554e-40,9.1196694648826e-39,"UP"
"TRAF3IP3",426.560219587702,1.53522435877835,0.0696461299293491,22.0432113074441,1.10979909960258e-107,6.70748255811417e-105,"UP"
"HHATL",17.0937086795329,1.16629147297368,0.245894104971744,4.74306398320405,2.1050974478997e-06,8.74525627136335e-06,"UP"
"CD4",5444.49381481565,1.29151510421027,0.0598583503601774,21.5761893944456,3.00648554741138e-103,1.28021620946135e-100,"UP"
"BTK",676.417790866314,1.42472868522508,0.0642564085866319,22.1725539376237,6.32196874111161e-109,4.23030022619525e-106,"UP"
"NA",NA,NA,NA,NA,NA,NA,NA
"TYROBP",3875.91028875538,1.3431734305409,0.0777023030208209,17.2861469779215,5.98195075624459e-67,6.02568975102143e-65,"UP"
"CD22",452.363899945401,1.48266380629581,0.109522451829648,13.537533003753,9.38894102827561e-42,4.4088019826008e-40,"UP"
"LTF",6240.88491044304,1.0926689430621,0.18095257252082,6.03842724002381,1.55623570729681e-09,1.14523300125345e-08,"UP"
"ALOX5",2481.91384044877,1.08142687878858,0.0816900008961517,13.2381792988758,5.28136618121437e-40,2.36161519740411e-38,"UP"
"CD6",769.43395848553,1.43622359917139,0.071652759172218,20.0442190330649,2.26711735163611e-89,4.91843026535456e-87,"UP"
"WAS",832.221902936578,1.29390408386653,0.0575079749623301,22.4995591431291,4.19207905466967e-112,3.14171172673164e-109,"UP"
"MARCO",2891.81359231554,1.42320415455353,0.138715338065697,10.2598903221466,1.06828004384302e-24,2.9007673770207e-23,"UP"
"CD74",188195.27326713,1.20115741279048,0.0809225638785217,14.8432940730056,7.68858870827191e-50,4.43241224732869e-48,"UP"
"RUNX3",987.657632996753,1.14845664098479,0.0727070593393064,15.7956689683352,3.33239215831435e-56,2.32969027903648e-54,"UP"
"SLAMF7",2390.72099166849,1.47243910398256,0.0963763480682246,15.2780130550311,1.07158414935235e-52,6.89938165713598e-51,"UP"
"MUSK",36.3448363790602,1.1582197340881,0.143855603436206,8.05126603637461,8.19419357650964e-16,1.34318819640844e-14,"UP"
"STAP1",85.8689675346295,1.38287712580918,0.0976421629812153,14.1627047536342,1.55877141040582e-45,8.09006679926968e-44,"UP"
"SLC18A1",8.08513695764121,1.14248735193252,0.164426201407632,6.94832905067336,3.69638050444205e-12,4.04529118757163e-11,"UP"
"MSR1",2993.05584420183,1.28971186646175,0.0953122214951882,13.531442728222,1.02001912343587e-41,4.77776957417361e-40,"UP"
"LCP2",1771.98420573559,1.36058644898403,0.0538088168796001,25.2855670851936,4.60417542266509e-141,4.31319153595266e-137,"UP"
"TNFRSF17",199.152588945532,1.25757167391897,0.129647517547086,9.69992868133583,3.01709452684497e-22,7.41840984973325e-21,"UP"
"TNFRSF9",372.02257503116,1.45722802642757,0.101433258334697,14.3663730254942,8.41228379262817e-47,4.50321568967661e-45,"UP"
"FOXP3",262.304455522745,1.19474413322533,0.0727887224254799,16.413863211413,1.52204869200274e-60,1.25626010102923e-58,"UP"
"TNIP3",193.215697550361,1.04956864844546,0.141550770608984,7.41478583217863,1.21821505101505e-13,1.61532039602392e-12,"UP"
"TRAF1",1016.51608561827,1.00049532697668,0.0630161854565691,15.8767992655826,9.17418991696821e-57,6.53565103742647e-55,"UP"
"CREB3L3",5.38245520511164,1.08538430626851,0.17722251926196,6.12441528756374,9.10172217278868e-10,6.96040271956607e-09,"UP"
"TSPAN32",89.1828644749806,1.20949489562288,0.0969769620770162,12.4719816925419,1.06152862668498e-35,4.07557384212497e-34,"UP"
"GLP2R",20.2811073403305,1.12720093706047,0.194354206404718,5.79972493475758,6.64237847639091e-09,4.43203714863462e-08,"UP"
"CD84",1347.07403591216,1.47411628346637,0.0746181054857157,19.7554772246069,7.19721906260869e-87,1.40465725371913e-84,"UP"
"SPI1",2001.2483577904,1.29064945983415,0.0707558809627069,18.2408789527249,2.44495002803407e-74,3.01372261350305e-72,"UP"
"RASGRP2",361.38902108278,1.3531168089183,0.0866382695523414,15.6180036363819,5.48977440566778e-55,3.76763418551617e-53,"UP"
"SLC12A3",19.6623233071973,1.52121900805887,0.101220894711755,15.0287054109808,4.76221856520316e-51,2.8782234528273e-49,"UP"
"FCGR2B",770.788593086647,1.23051748769712,0.0845967489572452,14.5456829353929,6.22069111228226e-48,3.44825055265445e-46,"UP"
"ACAP1",953.323265586487,1.3432441852777,0.0701962924777784,19.1355431727811,1.27741031389895e-81,2.11801412754078e-79,"UP"
"TBX21",116.91076461639,1.72913808689609,0.0959043890081346,18.0298118238303,1.13677877429538e-72,1.3066679211778e-70,"UP"
"ARHGAP15",463.091179292138,1.20032646084725,0.0667475008829004,17.9830921752871,2.64331174337217e-72,3.01982248925738e-70,"UP"
"ICAM3",110.268187669128,1.34332105825751,0.0788484362429921,17.0367495192639,4.38431649641792e-65,4.19104866718807e-63,"UP"
"APBB1IP",941.508331776186,1.08080657277474,0.0687059950281388,15.7308917850923,9.2893470163373e-56,6.4461187295591e-54,"UP"
"CST7",564.646047165787,1.21790464323538,0.097544740957527,12.4856002617884,8.94660412860063e-36,3.44196252471173e-34,"UP"
"P2RY10",332.158043409187,1.51370600962632,0.0805469609786045,18.7928382552931,8.64307630437079e-79,1.29549342110953e-76,"UP"
"SLC1A3",735.440896869704,1.11336923300985,0.0894519299549666,12.4465646920124,1.45994951455304e-35,5.582370225442e-34,"UP"
"SP140",392.221883833994,1.34547171424676,0.0817100260782983,16.4664213049873,6.39429444740694e-61,5.37235429446711e-59,"UP"
"AFP",13.4256775865755,1.42904389891615,0.293997511067303,4.86073468352937,1.16950908127656e-06,5.12319900556411e-06,"UP"
"PTPRC",4025.49059545427,1.63919723291045,0.0690522354664386,23.7385107352122,1.4440458554172e-124,2.25463692892471e-121,"UP"
"FYB1",1706.4613482333,1.32182894608807,0.0788843736641038,16.756537254343,5.07324342221391e-63,4.48359852634905e-61,"UP"
"P2RX5",101.280628244088,1.02158090584769,0.111497075766218,9.16240088654606,5.07552940511443e-20,1.12538602289023e-18,"UP"
"EPYC",65.5853487608013,1.11927159014142,0.224482213022681,4.9860145936299,6.16374908354624e-07,2.86205707135867e-06,"UP"
"FCN1",648.77739347887,1.50041079322853,0.105856044227348,14.174068228037,1.32591345861339e-45,6.90064293349457e-44,"UP"
"PILRA",549.19102898431,1.23478416570774,0.0703289500933958,17.5572671576635,5.23349310105918e-69,5.41738821775938e-67,"UP"
"LAT2",965.51918684959,1.09574538624967,0.0652311165482972,16.7978940761864,2.5286363723355e-63,2.28872130782985e-61,"UP"
"MYBPC2",85.260927772168,1.03995180840739,0.134271844588524,7.74512193225852,9.54901672282024e-15,1.42331246872522e-13,"UP"
"CASS4",327.603121061914,1.03825928680024,0.0793904145224831,13.0778922499039,4.40485546671652e-39,1.90159843374195e-37,"UP"
"SIGLEC1",1609.67441695428,1.28092458063144,0.0951482926786116,13.4624021574207,2.60313690463291e-41,1.20128997648281e-39,"UP"
"SIRPG",191.470272074964,1.701971487395,0.0822015507803663,20.7048586217368,3.13152337651118e-95,8.38174599747335e-93,"UP"
"P2RX7",256.54398388731,1.26329692113485,0.0859536746083237,14.697416101074,6.69666432441668e-49,3.83696338783703e-47,"UP"
"LAG3",441.897472099953,1.1432232422092,0.108431026976597,10.5433220922637,5.45376379331029e-26,1.52966644358475e-24,"UP"
