"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"AOC1",2122.45167186191,-1.1771748915476,0.191871561595006,-6.13522338465314,8.50396140110137e-10,5.15233794432287e-09,"DOWN"
"SLC7A2",6151.44277762223,-1.13755396452398,0.170807479673933,-6.6598603685011,2.74087858084265e-11,2.09993963911966e-10,"DOWN"
"KRT33A",0.639820521835993,-1.82368647112634,0.500218745542294,-3.64577794690453,0.000266584100458082,0.000650913111463194,"DOWN"
"ABCC8",57.6403493004358,-1.3162897021102,0.203047592049952,-6.48266590517546,9.01159031322026e-11,6.38708751981731e-10,"DOWN"
"DLX6",50.12703316578,-1.26879024872536,0.25788611973626,-4.91996331567963,8.65604344605425e-07,3.24764086250324e-06,"DOWN"
"LGALS14",0.552091470936166,-1.47207809401336,0.434149830829145,-3.39071442502226,0.000697106983796823,0.00157716914929587,"DOWN"
"SCN4A",109.631969276474,-1.0199628943617,0.197129940803197,-5.17406381905205,2.29056529278012e-07,9.46478866261975e-07,"DOWN"
"PAX7",566.185471040896,-1.68636247333535,0.360909131065694,-4.67254033821714,2.97497064549625e-06,1.01617577685474e-05,"DOWN"
"NA",NA,NA,NA,NA,NA,NA,NA
"NR1H4",26.8461797862924,-1.55315019869143,0.280578128852502,-5.53553552104522,3.10278840301216e-08,1.47037317683224e-07,"DOWN"
"SLC7A9",51.4794218590389,-1.22052998092339,0.183919474931284,-6.6362193638243,3.21830785448317e-11,2.43604032589248e-10,"DOWN"
"CPS1",12182.7119074871,-1.31570840314383,0.282240411751477,-4.66165845981814,3.13671422081846e-06,1.0667893365551e-05,"DOWN"
"GABRA1",1.36500777954896,-1.60587203807419,0.422168974208008,-3.80386086184286,0.00014245821629395,0.000364725219202073,"DOWN"
"ABCC2",1140.54601179439,-1.31752370892823,0.234830377678617,-5.61053353468333,2.01703779797694e-08,9.83097867476082e-08,"DOWN"
"GUCA2B",6.84916506828413,-1.65025592293512,0.385738615078107,-4.27817143119303,1.88434877793963e-05,5.62706328034645e-05,"DOWN"
"PLEKHH1",400.120319321789,-1.05982856160307,0.128773911348988,-8.23014965143713,1.86979698712975e-16,2.81062607135538e-15,"DOWN"
"F7",60.8792799279734,-1.43940017538935,0.207463705379209,-6.93808188163984,3.97459341916554e-12,3.4202560853402e-11,"DOWN"
"RIMBP2",160.127551360629,-1.63198394233435,0.229610351486328,-7.10762355342469,1.18058037323117e-12,1.10099005046166e-11,"DOWN"
"PAGE1",8.54456569182426,-2.29941061222171,0.464408159736703,-4.9512709111859,7.37303788354917e-07,2.79641722880438e-06,"DOWN"
"PLA2G10",286.962711626139,-1.27612608018993,0.166413592699221,-7.66840051639545,1.74154357754779e-14,2.07104489749749e-13,"DOWN"
"PRLH",0.886463304725267,-1.32280941260269,0.276745809436508,-4.77987151926928,1.75407252982238e-06,6.24107843716101e-06,"DOWN"
"PPP2R2C",610.906410075762,-1.01661052615679,0.216837554998375,-4.68835080788662,2.75415593821042e-06,9.46425482927701e-06,"DOWN"
"CA12",2855.12197974088,-1.01529275205458,0.174811618930298,-5.8079248866141,6.32518797690525e-09,3.3132017967713e-08,"DOWN"
"KCNQ2",43.7309659335455,-1.71997525287844,0.260149632888035,-6.61148445140686,3.80485089375331e-11,2.84793966091189e-10,"DOWN"
"FGF4",0.744318028176588,-1.84812028436415,0.425844552854775,-4.33989415145674,1.42551363752174e-05,4.35496650610286e-05,"DOWN"
"PAX2",1.56177492220045,-1.31935515407553,0.2713773499785,-4.86169960086963,1.1638214652041e-06,4.26151496868179e-06,"DOWN"
"BPIFB2",594.007421609292,-1.2171109711318,0.283926764300819,-4.28670743361933,1.81340868174804e-05,5.43270037134201e-05,"DOWN"
"AFP",9.41467700350759,-1.09382694514992,0.274414303281528,-3.98604202503151,6.71846173498508e-05,0.000182813817781089,"DOWN"
"OPRK1",70.0801796472341,-1.06298674058225,0.256664362482052,-4.14154396154856,3.44975733851733e-05,9.82598572045028e-05,"DOWN"
"HAL",562.527713224764,-1.14610399472532,0.168190407549891,-6.81432438045168,9.4707790370052e-12,7.75609051303649e-11,"DOWN"
"SLCO1A2",70.4104961093189,-1.07932002092868,0.241442012146201,-4.47030743048611,7.81072424894264e-06,2.49408300026443e-05,"DOWN"
"NKAIN1",44.6872236866258,-1.46194949149181,0.181513757035929,-8.05420765546951,7.99953094949634e-16,1.11689726172373e-14,"DOWN"
"AQP6",40.3106038359404,-1.01481673592612,0.190483298903358,-5.32758904202405,9.95249920774302e-08,4.34844568612686e-07,"DOWN"
"PIR",1034.06205498723,-1.0796894541001,0.107124531514143,-10.0788254458556,6.85405216397368e-24,2.03646845621968e-22,"DOWN"
"TESC",4197.331075929,-1.10224468786177,0.176199199528571,-6.25567363989665,3.95803681681069e-10,2.5235883413954e-09,"DOWN"
"THPO",133.311953173692,-1.24621565739893,0.173205768516829,-7.19500088288251,6.24603610379833e-13,6.02382432949695e-12,"DOWN"
"DLL3",206.407138267688,-1.2446121533734,0.237322225532635,-5.24439778271948,1.56793600720408e-07,6.65519179364434e-07,"DOWN"
"TF",661.920492064285,-1.20709469088154,0.217371265187821,-5.55314746794402,2.80571184201582e-08,1.3390335336124e-07,"DOWN"
"KRT31",1.40343780714053,-1.14483862489003,0.314325452824455,-3.64220782823274,0.000270309697808527,0.000659070092567676,"DOWN"
"MYO3A",45.0068627537229,-1.06550073206179,0.212053864212464,-5.02467019886151,5.04298398160283e-07,1.96193215140561e-06,"DOWN"
"PGC",60998.4608351959,-2.8420557040579,0.277565375766364,-10.239229933528,1.32285050618184e-24,4.18566221038804e-23,"DOWN"
"MAGEB2",35.2133931102133,-1.8690262709027,0.463706358524538,-4.03062463247157,5.56288222939942e-05,0.000153534604266814,"DOWN"
"AMELY",0.989195808218928,-1.44341957907529,0.525278067796778,-2.74791518543609,0.00599755212663462,0.0114191939533296,"DOWN"
"NA.1",NA,NA,NA,NA,NA,NA,NA
"HRH3",2.77945127659014,-1.67327190302917,0.365016517753796,-4.5840991342693,4.55947894487747e-06,1.50983357313297e-05,"DOWN"
"NTSR1",36.2840297357228,-1.20807258144556,0.233375285749677,-5.17652320195278,2.26058951040245e-07,9.34687105372385e-07,"DOWN"
"COL20A1",3.04368858638751,-1.08767246707251,0.205629796547136,-5.28946915931607,1.22671863591071e-07,5.30507497948427e-07,"DOWN"
"HAO1",2.8263152062773,-1.87139488989949,0.356749021197476,-5.24569032766481,1.55698232500043e-07,6.61734463510321e-07,"DOWN"
"NA.2",NA,NA,NA,NA,NA,NA,NA
"PAGE4",2.32191547544776,-2.01666973009307,0.422248348748618,-4.77602751098899,1.78791943289795e-06,6.34991575557836e-06,"DOWN"
"GPR50",3.58707951046302,-2.67721404503337,0.355848334529014,-7.52346936954704,5.33415014214305e-14,5.96830771644719e-13,"DOWN"
"NECAB2",46.9753573091531,-1.62311449336276,0.180844694633373,-8.97518446229955,2.82877393350023e-19,5.76129913666175e-18,"DOWN"
"NA.3",NA,NA,NA,NA,NA,NA,NA
"AP3B2",111.490658574095,-1.04773011755457,0.167769510314766,-6.24505677812874,4.23646195001003e-10,2.68454645837627e-09,"DOWN"
"SCG3",61.8525530027702,-1.64487966642772,0.202059752327877,-8.14056063851163,3.93451719435315e-16,5.672165283664e-15,"DOWN"
"RHOV",1621.23305010376,-1.16895990293535,0.159755622410739,-7.3171753538032,2.53244842180441e-13,2.58699959063888e-12,"DOWN"
"DKK4",7.64813425201064,-2.00846386770622,0.30813078358162,-6.51821880423773,7.11471601532681e-11,5.10765855818544e-10,"DOWN"
"ADAM2",10.1733602675998,-1.83201260565223,0.369402717407642,-4.95939125328787,7.07144192614933e-07,2.68778226565087e-06,"DOWN"
"FGL1",2104.56837292421,-1.43186542059734,0.256385978596708,-5.58480392896072,2.3396402079062e-08,1.12959938796878e-07,"DOWN"
"TUBB4A",85.5128673735601,-1.07931404429046,0.175580451523618,-6.14711965326776,7.89026089450819e-10,4.80590859671435e-09,"DOWN"
"RSPH6A",1.95021275872327,-1.44275871813778,0.267876961756276,-5.38590070858894,7.20827497567625e-08,3.22683710498176e-07,"DOWN"
"NA.4",NA,NA,NA,NA,NA,NA,NA
"FGF21",1.64174823999862,-1.95050989448653,0.339939563793151,-5.73781372406945,9.59065143146338e-09,4.89990529621632e-08,"DOWN"
"SLC5A5",207.723012309129,-1.41101271630922,0.222529864422772,-6.34077911281391,2.28606105956392e-10,1.523337302973e-09,"DOWN"
"HOXA13",22.3988157783277,-1.01572888563179,0.33277704689847,-3.05228048358062,0.00227109776720427,0.00467334951230768,"DOWN"
"EVX1",4.16562165207288,-1.03266274347095,0.306968888088172,-3.36406321142986,0.000768039500774197,0.00172662720987196,"DOWN"
"CRHR2",35.2265270277935,-1.17956823882546,0.160440568008052,-7.35205723508943,1.95179191673275e-13,2.03435167107156e-12,"DOWN"
"PAX4",0.486842272138268,-1.68617417522317,0.539458123108871,-3.1256813142526,0.00177393676453665,0.00371902780225706,"DOWN"
"LHX2",30.0155853664942,-1.68188085687341,0.198880312266926,-8.45674887424795,2.74935122600308e-17,4.51834778634284e-16,"DOWN"
"AMBP",350.222209330685,-2.15638133714827,0.205778252936714,-10.4791507672652,1.07706534525386e-25,3.6320208727237e-24,"DOWN"
"LHX3",1.34531010394728,-1.02663989475106,0.290486992060363,-3.53420264180961,0.000409007368941221,0.000964428094366482,"DOWN"
"SH3GL2",35.7999662385447,-1.45301835977723,0.216218490484606,-6.72013922824366,1.81551004549671e-11,1.42685912487001e-10,"DOWN"
"NEURL1",178.741208448213,-1.13003702628234,0.185724012827892,-6.08449607068058,1.16858268128311e-09,6.91045055852216e-09,"DOWN"
"TRIM16L",852.998935200012,-1.05329705399983,0.139938887937471,-7.52683596049785,5.1984611359037e-14,5.82792542599624e-13,"DOWN"
"ENO3",736.991712108132,-1.52003075273904,0.155681738633262,-9.76370617442657,1.61155806834594e-22,4.31468108655641e-21,"DOWN"
"ALDH3A1",2914.39133957749,-1.94249897247254,0.231823393016793,-8.37921897007102,5.32800700584821e-17,8.42239939586274e-16,"DOWN"
"VTN",72.7575405556814,-1.04509619720144,0.170546372482404,-6.1279297940463,8.90298514351205e-10,5.36906198738222e-09,"DOWN"
"PHOX2B",7.49907947231961,-1.792651768577,0.441404759598659,-4.06124249817093,4.88122370629217e-05,0.000135894773974205,"DOWN"
"NEIL3",246.709149579169,-1.04443280617302,0.134803710143702,-7.74780460463324,9.34948572451861e-15,1.14827237716819e-13,"DOWN"
"PPARGC1A",484.484585074325,-1.27908696417655,0.166015945461504,-7.70460307665534,1.31250601322692e-14,1.58304793959195e-13,"DOWN"
"DBX1",0.585273003443936,-1.17384738734029,0.426645660764324,-2.7513402696687,0.00593519569142285,0.0113070960044495,"DOWN"
"APOA5",4.40537607657382,-2.13026650577455,0.265390161591045,-8.02692342852256,9.99474225610074e-16,1.37673159938982e-14,"DOWN"
"APOC3",2.06992695536172,-2.73595325391702,0.443672656979498,-6.16660326228634,6.97725229134667e-10,4.28731476704407e-09,"DOWN"
"CALCA",2913.42061690363,-1.41807149709146,0.350124337567122,-4.05019401663158,5.11751855784346e-05,0.000142047214769192,"DOWN"
"FZD10",382.044423311681,-1.81863995100408,0.214731422298324,-8.46937039553282,2.46722963408829e-17,4.08223877742061e-16,"DOWN"
"NA.5",NA,NA,NA,NA,NA,NA,NA
"CDH9",0.613169614146983,-1.34028988375583,0.546977083067662,-2.45035838839711,0.0142714087562218,0.0251982994897652,"DOWN"
"KNG1",9.82774450148442,-1.36584434733019,0.25292400427793,-5.40021636629358,6.65605698072398e-08,2.99961171355587e-07,"DOWN"
"HGD",1250.83137383638,-1.53575254567124,0.185676853519116,-8.27110389132658,1.32724329647912e-16,2.02896463464114e-15,"DOWN"
"FGF12",190.183737457858,-1.1268537219092,0.172762218017711,-6.52257035617405,6.9112625649841e-11,4.97994153989298e-10,"DOWN"
"GNAT1",1.93950551784577,-1.2463003001679,0.286471265408259,-4.35052464473797,1.35812189174815e-05,4.16409529527501e-05,"DOWN"
"UPK1B",170.696620225889,-1.92684935218505,0.298233361627064,-6.46087795702263,1.04097249279261e-10,7.2957910309316e-10,"DOWN"
"PEX5L",29.3925239187051,-1.06787577314438,0.144898168047011,-7.36983626182156,1.70837731314397e-13,1.79214113081212e-12,"DOWN"
"SLC30A3",49.5524481782761,-1.15440929210164,0.163697488447746,-7.05208921070369,1.76251136229016e-12,1.59633405959096e-11,"DOWN"
"IGFBP2",10140.7542583247,-1.13151974371074,0.148927900832385,-7.59776870140837,3.01280193471592e-14,3.48708565971188e-13,"DOWN"
"PROC",213.21262866406,-1.00608953543918,0.161052284517777,-6.24697462970874,4.18479000900777e-10,2.65773027258294e-09,"DOWN"
"ODC1",15895.0566213521,-1.40990836828835,0.139495806731461,-10.1071738378669,5.13440323387995e-24,1.53724506039254e-22,"DOWN"
"DLX2",3.90214339999398,-1.52159898801065,0.236758438636482,-6.42679938579467,1.30318622719088e-10,9.01043020722858e-10,"DOWN"
"ATP6V1B1",8.65532110311846,-1.06638320700723,0.161736985229994,-6.59331695524567,4.30106965434242e-11,3.18753416854708e-10,"DOWN"
"ELAPOR1",5738.85477530074,-1.21041096520792,0.160394782314896,-7.54644850498669,4.47287817366128e-14,5.0539633903091e-13,"DOWN"
"ACTL8",20.1919558307845,-2.2612360467636,0.325881534793288,-6.93882839418297,3.95365034196288e-12,3.40674618988499e-11,"DOWN"
"COLEC11",118.749469947676,-1.13134721689435,0.140149220850333,-8.07244742446718,6.89028450518364e-16,9.67568698058604e-15,"DOWN"
"APOA1",12.4661990950004,-1.46790837546324,0.168903072774369,-8.69083286260969,3.5979202569008e-18,6.43367557130766e-17,"DOWN"
"GDA",171.168685484306,-1.01342222039216,0.246114387071842,-4.11768784608412,3.82692567258804e-05,0.000108274943075067,"DOWN"
"NKX2-3",10.6798573424445,-1.77463695839622,0.224701168733236,-7.89776469967121,2.83949536744017e-15,3.67959323331192e-14,"DOWN"
"PRLHR",2.86185366504027,-1.02030620677998,0.399827905200105,-2.55186342301282,0.0107148511828986,0.0194002010595333,"DOWN"
"INSL4",207.363543071354,-1.91998255975242,0.401879195913307,-4.7775116982333,1.7747772832916e-06,6.31013937041893e-06,"DOWN"
"NPPB",1.69666982526336,-1.06195006356525,0.342601335296095,-3.09966703033267,0.00193738305287538,0.00403305917799787,"DOWN"
"IAPP",1.71018134198802,-1.38206303196719,0.358902674647481,-3.85080170640876,0.000117731795489562,0.000306002190410329,"DOWN"
"PAEP",3247.90675601918,-1.17603983849269,0.271568763689472,-4.33054163709876,1.48743016147386e-05,4.52638583564199e-05,"DOWN"
"NPY",11.5637437972079,-1.55223748315682,0.390819259166667,-3.97175279045002,7.13457372294032e-05,0.000193085221374382,"DOWN"
"SPINK4",67.7129068539583,-2.93743153390819,0.264966999351954,-11.0860278490999,1.46656288234608e-28,5.93045168875673e-27,"DOWN"
"NEUROG3",5.02005716932491,-1.24221125597303,0.235331330345674,-5.27856301219378,1.30200893548526e-07,5.59714516134608e-07,"DOWN"
"NEUROD4",0.781459262644008,-2.5504717026085,0.675895245434831,-3.77347188019894,0.000160991372500416,0.000408578494974689,"DOWN"
"H2BW1",1.36221198149328,-1.40377047199531,0.526734005934966,-2.66504622101165,0.00769777418365612,0.0143493990640437,"DOWN"
"ESX1",0.692330120060022,-2.25091972266147,0.531987068356461,-4.23115495949091,2.32494426924595e-05,6.82976469508256e-05,"DOWN"
"INHA",467.831605657155,-2.26833000614919,0.237174247241991,-9.56398104991051,1.13312128833899e-21,2.84976348787295e-20,"DOWN"
"CTCFL",6.7827877155765,-1.22172782924693,0.279931896856826,-4.36437520327237,1.27486603119613e-05,3.92054493752663e-05,"DOWN"
"NA.6",NA,NA,NA,NA,NA,NA,NA
"PCK1",71.5091874638783,-3.09536235865852,0.305953094061206,-10.1171140895188,4.63892061269167e-24,1.39748379693931e-22,"DOWN"
"MAGEA10",50.3747346794103,-2.0301885985429,0.443499269454427,-4.57765939736575,4.70207473688118e-06,1.55441212171898e-05,"DOWN"
"GRM4",44.1071472559863,-1.45092576341644,0.182922699886721,-7.93190656115923,2.15806788699715e-15,2.83251859834757e-14,"DOWN"
"SCGB1D2",1.95810856630755,-1.37443254001303,0.532045168483167,-2.5833004816705,0.00978600508364606,0.0178394149911472,"DOWN"
"SLC10A2",21.4357907044294,-2.60586290487228,0.35394938698787,-7.36224726096668,1.80839599481986e-13,1.89197242807482e-12,"DOWN"
"NA.7",NA,NA,NA,NA,NA,NA,NA
"GNRH2",9.54936966503687,-1.76337977127722,0.173130084859007,-10.1852879741454,2.30675892134719e-24,7.14801878155454e-23,"DOWN"
"DEFB126",3.02924934735246,-1.3772174820169,0.4155021822169,-3.31458543651635,0.000917791279961241,0.00203234149485623,"DOWN"
"PCSK2",1085.61575820262,-2.41808262839684,0.288675650904015,-8.37646895685307,5.45392716014296e-17,8.6144646903036e-16,"DOWN"
"BANF2",1.36057061346061,-1.24177324607375,0.336445375813092,-3.6908613859612,0.000223495912285712,0.000553795935209868,"DOWN"
"NA.8",NA,NA,NA,NA,NA,NA,NA
"FAM83C",2.20102412648428,-1.54141326125928,0.291742674034389,-5.28346861274597,1.2676059008553e-07,5.46327009792527e-07,"DOWN"
"PRDM7",2.30496810960245,-1.10454703385906,0.187148531764771,-5.90198076064726,3.59163057626236e-09,1.95434035627944e-08,"DOWN"
"CTAG2",38.9890436603764,-2.8190613119408,0.550947853046894,-5.11674797596653,3.10848524312307e-07,1.25595949157777e-06,"DOWN"
"VGF",76.8459918313731,-1.50629530044493,0.184040811877711,-8.18457213417321,2.73272814884691e-16,4.04738634872152e-15,"DOWN"
"HOXD11",6.81232718792248,-2.11514087608308,0.402876938965102,-5.25009170670426,1.52023506861848e-07,6.47245559686388e-07,"DOWN"
"HOXD13",16.5937836849902,-2.12491643566238,0.421702563858135,-5.03889854550949,4.68218583302801e-07,1.83401294356007e-06,"DOWN"
"MYOD1",0.425228190048186,-1.26716027072161,0.56822338806992,-2.2300389201257,0.025744859166202,0.04303911570533,"DOWN"
"NA.9",NA,NA,NA,NA,NA,NA,NA
"LBP",91.9206513151045,-1.70897640221643,0.245068382495046,-6.9734675065682,3.09222883202153e-12,2.69426160773051e-11,"DOWN"
"KIF1A",1870.29152540046,-1.32356836958121,0.269202114588336,-4.91663437192985,8.80447713343942e-07,3.29876982309688e-06,"DOWN"
"BPIFA2",275.846731857035,-2.33599575097789,0.233701142003414,-9.99565398334154,1.59232672497245e-23,4.5641235582997e-22,"DOWN"
"TEX101",9.30885301990889,-1.50712914672415,0.244413323501684,-6.16631337904034,6.99004887917668e-10,4.29382422641137e-09,"DOWN"
"NA.10",NA,NA,NA,NA,NA,NA,NA
"G6PC",3.14082275534326,-2.42444924638981,0.34177217054026,-7.09375851918351,1.3051779466585e-12,1.21139158849146e-11,"DOWN"
"CA6",9.93848688342372,-1.34977772490222,0.225856675767631,-5.97625782064957,2.28321559232686e-09,1.28063755712353e-08,"DOWN"
"LIN28A",11.2093595162466,-3.26555296442145,0.316775493346857,-10.3087297881525,6.43461294515326e-25,2.08680600522433e-23,"DOWN"
"DDC",497.077941222045,-2.2446472697751,0.224226541230768,-10.0106225492056,1.36888397342335e-23,3.95272852236955e-22,"DOWN"
"BCAN",103.263399267227,-1.21285633285117,0.151022859119977,-8.03094538084227,9.6724410571554e-16,1.33327827896051e-14,"DOWN"
"SYT4",18.9737510541339,-1.28151374581545,0.305713728275753,-4.19187503630693,2.76658380261458e-05,8.01597813241574e-05,"DOWN"
"SLC14A2",378.49404633488,-1.61939828286937,0.274626832136904,-5.89672272832425,3.70792147431578e-09,2.00976355550302e-08,"DOWN"
"MTUS2",43.0673593898329,-1.0507138780235,0.163510547139383,-6.42597004539304,1.31031205486948e-10,9.05648661753936e-10,"DOWN"
"IRS4",2.97137627053511,-1.10905805359576,0.277100191919058,-4.00237201538901,6.27105920040402e-05,0.000171381400553947,"DOWN"
"BEX1",42.8429699228931,-1.83198868285711,0.2266033040242,-8.08456297998841,6.23875010768496e-16,8.79244239688269e-15,"DOWN"
"NTS",485.273719673654,-2.47782542003323,0.288101175849349,-8.60053907356806,7.93425294010729e-18,1.37097982318822e-16,"DOWN"
"SPINK5",1394.02090910032,-1.1303136622202,0.189551214350979,-5.96310430450353,2.47490325355012e-09,1.37942062667845e-08,"DOWN"
"REG4",206.086926846898,-1.00548064669758,0.33282090759763,-3.02108618702878,0.00251869655937944,0.00514590300197744,"DOWN"
"HMGCS2",180.562962281951,-2.31018878126759,0.268331390809259,-8.60946151063543,7.34045641074475e-18,1.27515896525692e-16,"DOWN"
"MYCN",187.211104695472,-1.90971094961344,0.19277533495501,-9.90640711405908,3.90434742918918e-23,1.08869292907477e-21,"DOWN"
"ANO3",120.423066166918,-1.15362105678032,0.173356294474609,-6.65462457118506,2.8402410666848e-11,2.17094661297072e-10,"DOWN"
"CFHR5",1.40392683516949,-1.42611468619353,0.288184389715034,-4.94861879091964,7.47419688921279e-07,2.83257965326942e-06,"DOWN"
"SPX",101.125271514459,-1.3544886926598,0.214603075796126,-6.31159962472568,2.76165931515054e-10,1.81054496170868e-09,"DOWN"
"MSI1",224.712222972545,-1.32773551574385,0.183270155565251,-7.2446902860358,4.3342849673329e-13,4.28395275346275e-12,"DOWN"
"UGT2B28",3.42796930635657,-1.05269969433189,0.34598513279402,-3.04261540324222,0.00234531869244586,0.00481438721795285,"DOWN"
"CGA",128.287633725121,-1.89564147226105,0.371494912570142,-5.10273871355677,3.34773064395273e-07,1.34481900208744e-06,"DOWN"
"PPP1R1A",46.4210187225915,-1.14972644958594,0.163339994793901,-7.03885445225248,1.9382670046262e-12,1.74175943693727e-11,"DOWN"
"PAX3",3.83208175177694,-1.47975554084505,0.312800590819122,-4.73066734615193,2.23782964454008e-06,7.81116361062514e-06,"DOWN"
"NA.11",NA,NA,NA,NA,NA,NA,NA
"GH2",1.9851305139487,-1.48454479681858,0.430063752658995,-3.45191797178893,0.000556616915638789,0.00128360391655414,"DOWN"
"CTSV",466.880966888285,-1.07303730662783,0.142950883287814,-7.50633561646063,6.08054073001519e-14,6.74919244696618e-13,"DOWN"
"SLC22A7",1.06329515156168,-1.01474511767284,0.278182547806804,-3.64776699930714,0.000264529359954774,0.000646675248322902,"DOWN"
"TINAG",61.96353371519,-1.18876423472126,0.329090872810198,-3.61226740981928,0.000303531319456673,0.000731922423299519,"DOWN"
"SLC28A2",252.584865252838,-1.27083919286925,0.262893448663697,-4.83404664258088,1.33785218567859e-06,4.85407240339937e-06,"DOWN"
"NDST4",2.28857280397507,-2.18319621781843,0.356840396144948,-6.11813079854228,9.46793413435265e-10,5.69215003740492e-09,"DOWN"
"PIK3C2G",162.886967782311,-1.50795742766455,0.252867686936149,-5.96342476943416,2.47005203348166e-09,1.37711053159585e-08,"DOWN"
"COL2A1",141.079757224247,-3.47786903686311,0.247961435456332,-14.0258465211038,1.08311959951109e-44,1.23456632246027e-42,"DOWN"
"INHBE",17.9916601569188,-1.14879111830883,0.207665421260077,-5.53193262189809,3.16721572941561e-08,1.49908212195337e-07,"DOWN"
"TPH2",2.20809663463594,-1.48435142768967,0.257931752381934,-5.7548224054699,8.67329264896352e-09,4.46162963897989e-08,"DOWN"
"ASCL1",1649.30760358827,-1.57160243928705,0.330675175543736,-4.75270765851363,2.00710454182897e-06,7.06911359320357e-06,"DOWN"
