"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"DNAH9",305.102772574623,1.28234948083662,0.219044200644891,5.85429551232691,4.79036202509509e-09,2.55805332140078e-08,"UP"
"GAS7",1621.49969761985,1.29935093199458,0.0643008344795483,20.207372773799,8.43182499582988e-91,2.73907834989534e-87,"UP"
"CD79B",193.320571331922,1.08538778584691,0.111971566645967,9.69342323554961,3.21566062712264e-22,8.43559102062549e-21,"UP"
"FMO3",552.62276078377,1.00513081474743,0.100788624149267,9.97266133188643,2.00775548274336e-23,5.71287038162787e-22,"UP"
"CD4",5444.49381481565,1.07480344043418,0.0667947227986723,16.0911430634089,2.94352243593585e-58,1.00652975085659e-55,"UP"
"BTK",676.417790866314,1.07877515037208,0.0747533214563815,14.4311333510651,3.29619833610436e-47,4.52438040626831e-45,"UP"
"FMO1",162.401244631516,1.46030722859911,0.106408234855365,13.7236298542497,7.33017508633169e-43,7.32679192859954e-41,"UP"
"NA",NA,NA,NA,NA,NA,NA,NA
"DCN",18940.8277265628,1.55008996296488,0.0736029541620371,21.0601596174028,1.84551994676413e-98,8.99275732059489e-95,"UP"
"CD22",452.363899945401,1.11970945610283,0.115718766251979,9.67612680612805,3.80872539139131e-22,9.95118855276247e-21,"UP"
"LTF",6240.88491044304,1.10174282549058,0.180885616907784,6.09082603871287,1.12329562251594e-09,6.6588062586552e-09,"UP"
"MARCO",2891.81359231554,1.05506320484405,0.143147705930894,7.37045136687965,1.70051293415071e-13,1.78485178241957e-12,"UP"
"SNAI2",539.710883520622,1.0562429182837,0.104332782314198,10.1237875081566,4.33315796010156e-24,1.31145313354564e-22,"UP"
"HGF",661.146377462194,1.2089039692967,0.100341020671276,12.0479536804509,1.98824727167507e-33,1.06464086736865e-31,"UP"
"ADGRA2",1196.18188274915,1.03165673840936,0.0670261057688919,15.3918645067423,1.85605934546917e-53,4.11096053437951e-51,"UP"
"FHL1",1615.18418091406,1.09606736583976,0.108270345842258,10.1234309109593,4.34897948376044e-24,1.31420091655775e-22,"UP"
"IBSP",106.978160511296,1.5567771048008,0.199273957909662,7.81224561970379,5.61779465501111e-15,7.09173805834337e-14,"UP"
"MUSK",36.3448363790602,1.06979227868552,0.144845283361299,7.38575847179683,1.51586748791944e-13,1.60226535829923e-12,"UP"
"MYOC",7.86942468555195,1.25043673166478,0.182429451024582,6.85435780594594,7.16335829420662e-12,5.94384914910095e-11,"UP"
"STAP1",85.8689675346295,1.04965756033388,0.103884502838107,10.104082241888,5.29893761738922e-24,1.58407351381186e-22,"UP"
"TIMP2",12261.6416438611,1.04825182269657,0.0671539592650558,15.6096801166873,6.25498085353027e-55,1.58332249111894e-52,"UP"
"VCAN",10613.522879789,1.42730769300527,0.100272688973771,14.2342616679864,5.61528550397305e-46,7.20049537881176e-44,"UP"
"MSR1",2993.05584420183,1.42815543674407,0.0921999916068403,15.489756689285,4.06827183135726e-54,9.22031235639352e-52,"UP"
"CBLN4",36.509948077678,1.55398008079165,0.13934568323786,11.1519786238304,7.00315398873755e-29,2.91041523229176e-27,"UP"
"COL11A1",3536.14934463912,2.17517167813482,0.177088974148118,12.2829311570549,1.11870359824195e-34,6.37562919103328e-33,"UP"
"PRDM6",308.640482666466,1.04244383052021,0.0819290220601264,12.7237431170016,4.36441235947243e-37,2.81678017544627e-35,"UP"
"GLP2R",21.4889472312564,1.71035721068747,0.192870440209476,8.86790743480365,7.45332453101729e-19,1.4355014667397e-17,"UP"
"MYLK",4209.87103299713,1.29355717552296,0.0679560336670555,19.0352071143621,8.71473183556594e-81,1.69858838207016e-77,"UP"
"CD84",1347.07403591216,1.1419491794736,0.0835587604465265,13.6664207722946,1.61127871963228e-42,1.57816248866094e-40,"UP"
"FGF10",30.4713596405062,1.40754410820279,0.144505690303583,9.74040610612476,2.02742494151255e-22,5.405819361836e-21,"UP"
"FCGR2B",770.788593086647,1.09285372804437,0.087602789451135,12.4751019333005,1.02075493351868e-35,6.08426128722096e-34,"UP"
"IRAG1",810.955171973989,1.12467498621326,0.0681543838938331,16.5018729824513,3.55686779469743e-61,1.65064071872495e-58,"UP"
"WSCD2",30.0998098664226,1.37813374078686,0.123969323819447,11.1167319327645,1.0401252767156e-28,4.26801721441343e-27,"UP"
"ICAM3",110.268187669128,1.10039998550431,0.08487292378161,12.9652654400807,1.92562655516385e-38,1.40570738526961e-36,"UP"
"FBLN1",7875.0118061195,1.15176862655354,0.0841938485472419,13.6799617362457,1.33763068274788e-42,1.31675553724439e-40,"UP"
"ITGA8",798.833421738688,1.1703318254803,0.0936929801400057,12.4911367290428,8.34526883131547e-36,5.00485030126676e-34,"UP"
"FAP",986.424322219286,1.43806864828521,0.0960879722092287,14.9661670989774,1.22161842597434e-50,2.1450959225825e-48,"UP"
"P2RY10",332.158043409187,1.00614163960054,0.092397916982418,10.8892242645686,1.29740650335042e-27,4.93901370250059e-26,"UP"
"EPB41L2",2064.56533258732,1.0114581641028,0.059667510312625,16.9515731225136,1.87372430805261e-64,1.04345029966438e-61,"UP"
"MOXD1",2095.24470085629,1.14820311594149,0.0842371177613178,13.630607818217,2.63377510387114e-42,2.52881332756416e-40,"UP"
"COL5A3",946.733248533169,1.10795960267476,0.0983279680089053,11.2680006015625,1.8880867639344e-29,8.12377463925945e-28,"UP"
"PTPRC",4025.49059545427,1.24747505822735,0.0812333458573826,15.3566869006907,3.19489729838506e-53,6.84304870800254e-51,"UP"
"EPYC",65.5853487608013,2.09252180761796,0.215094196754051,9.7283973217123,2.28159258256007e-22,6.05865409082811e-21,"UP"
"NOX4",259.020275653314,1.16571865248455,0.0907250373270415,12.8489189624956,8.72205794701738e-38,5.98597293821534e-36,"UP"
"ADAMTS2",1825.64289196044,1.2831303400822,0.0834722259086963,15.3719434951419,2.52480307094329e-53,5.5293187253658e-51,"UP"
"MMP2",15698.1396685583,1.4606669882229,0.077029699716294,18.962387152003,3.48941267758887e-80,5.66767854157372e-77,"UP"
"NID2",659.39021215166,1.00021816485202,0.0980613648847065,10.1999208967569,1.9843405381149e-24,6.1882850285436e-23,"UP"
"CASS4",327.603121061914,1.15479943270891,0.0766537366565201,15.0651420671569,2.74574778442767e-51,5.04880849681885e-49,"UP"
"P2RX7",256.54398388731,1.00789739727445,0.0912642220029155,11.0437296802054,2.35068859446254e-28,9.33141983598154e-27,"UP"
"TBX5",405.14404990495,1.00835466512828,0.0775052210957449,13.0101514565403,1.0712955115207e-38,7.90932606630681e-37,"UP"
"CD209",295.459091885725,1.23198698022086,0.0965074430555343,12.7657198368827,2.54784329980558e-37,1.70652968235431e-35,"UP"
"IL5RA",100.004119769865,1.08322567925434,0.151761496986842,7.13768446385486,9.49162020593772e-13,8.9458979416795e-12,"UP"
"CCDC80",6815.07929742861,1.5289486525889,0.0866579585717627,17.6434880048871,1.14189801012414e-69,9.27363921472066e-67,"UP"
"CMA1",9.031522895528,1.21535363473923,0.156316920046189,7.77493334937838,7.54871405876577e-15,9.36549877271825e-14,"UP"
"FMO2",1373.83692827396,1.32879716648772,0.0982340178638825,13.5268534809292,1.08572241383571e-41,9.88869886358493e-40,"UP"
"CYP26A1",14.993195547256,1.39186385929978,0.22814122379145,6.1008871442371,1.05481366956327e-09,6.28342702734034e-09,"UP"
"TPSD1",117.685672408681,1.16306958564179,0.176988081917816,6.5714570893076,4.98252462391039e-11,3.6605498471405e-10,"UP"
