	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-44-8120-01A	683.480055218334	1165.07288398774	1848.55293920607
TCGA-99-8025-01A	268.187625085104	745.21118203668	1013.39880712178
TCGA-50-6594-01A	3.58233359952739	947.494046831168	951.076380430695
TCGA-78-7161-01A	-166.582615010864	47.6951012492152	-118.887513761649
TCGA-55-7903-01A	-313.084757338568	1476.23947247239	1163.15471513382
TCGA-38-4632-01A	456.846831128225	2001.66904099645	2458.51587212467
TCGA-64-1677-01A	-482.367222652243	1477.33494136749	994.967718715252
TCGA-86-A456-01A	459.596527921813	1791.07928072095	2250.67580864276
TCGA-44-A47A-01A	76.8404053524881	1889.54124323421	1966.3816485867
TCGA-91-6828-01A	746.716343473684	2089.40550912199	2836.12185259567
TCGA-MP-A4TA-01A	-128.593408964229	1245.36287966742	1116.76947070319
TCGA-55-7726-01A	1207.20363285314	1133.7341510543	2340.93778390744
TCGA-86-8359-01A	5.01037105238378	1713.6104259734	1718.62079702578
TCGA-55-5899-01A	503.909416943734	1219.80322984566	1723.71264678939
TCGA-62-8397-01A	66.1513996117549	1408.14227864143	1474.29367825319
TCGA-99-8032-01A	711.733237369413	1001.49285115942	1713.22608852883
TCGA-MP-A4TC-01A	1134.50543954357	1740.70764506753	2875.2130846111
TCGA-75-5126-01A	898.499841079674	2509.38763295208	3407.88747403176
TCGA-95-A4VP-01A	408.056160314571	1681.20450303194	2089.26066334651
TCGA-50-6673-01A	520.99234413652	1142.00418751479	1662.99653165131
TCGA-86-7701-01A	784.822789554769	2108.05322476711	2892.87601432188
TCGA-L9-A50W-01A	-137.806660214736	1266.12062236125	1128.31396214652
TCGA-75-6203-01A	995.33131890398	2581.57299358631	3576.90431249029
TCGA-95-7948-01A	-265.93953159534	683.459933783967	417.520402188628
TCGA-78-7158-01A	-487.104432206287	591.42000420645	104.315572000163
TCGA-49-4507-01A	-38.835664401413	1979.497649098	1940.66198469659
TCGA-05-4398-01A	648.723565318841	1970.88716592627	2619.61073124511
TCGA-86-7953-01A	305.296781286443	1863.68311386208	2168.97989514853
TCGA-86-A4D0-01A	-903.322497307656	423.699243031637	-479.623254276019
TCGA-NJ-A4YQ-01A	205.560574840768	2498.76800280971	2704.32857765048
TCGA-75-7027-01A	540.261529359347	550.31328382334	1090.57481318269
TCGA-53-7624-01A	-725.826898458085	694.190657692227	-31.6362407658579
TCGA-L9-A7SV-01A	-781.191482885124	268.72777798649	-512.463704898634
TCGA-50-8460-01A	458.735862518575	2007.72143519505	2466.45729771363
TCGA-L9-A444-01A	807.944883482935	2709.91529084132	3517.86017432425
TCGA-05-4249-01A	351.07051236883	1540.89606878754	1891.96658115637
TCGA-55-6979-01A	1208.23403771995	2769.16789410159	3977.40193182154
TCGA-75-7025-01A	637.888582735299	1808.33740776802	2446.22599050332
TCGA-62-8395-01A	545.415980110503	794.567056479832	1339.98303659034
TCGA-05-4425-01A	723.569452210678	2063.96786138702	2787.53731359769
TCGA-62-8394-01A	-131.286074440557	1027.02529291432	895.73921847376
TCGA-49-6767-01A	-101.535452578387	1634.58318297078	1533.0477303924
TCGA-55-8204-01A	198.350634332974	1411.03420748931	1609.38484182228
TCGA-MN-A4N1-01A	-426.867429920745	311.008073055802	-115.859356864943
TCGA-35-4123-01A	951.743757056788	2468.35629477045	3420.10005182724
TCGA-55-1594-01A	-273.685848317699	1036.37082475731	762.684976439614
TCGA-MP-A4SV-01A	246.64600397048	1748.94635075976	1995.59235473024
TCGA-75-6214-01A	-824.140494141973	393.483197941124	-430.657296200849
TCGA-44-6777-01A	2075.44774839849	2625.65381693876	4701.10156533725
TCGA-73-4662-01A	340.371881031377	1896.40744500024	2236.77932603161
TCGA-78-7149-01A	58.4170344575491	459.452157578993	517.869192036542
TCGA-05-4426-01A	-184.122112567476	1281.37323638675	1097.25112381927
TCGA-44-6775-01A	1576.89560648816	1930.94118647114	3507.8367929593
TCGA-86-6851-01A	487.922274593875	2733.34204612596	3221.26432071983
TCGA-O1-A52J-01A	-14.6727399318912	1781.48818693893	1766.81544700704
TCGA-78-7540-01A	-539.719584872239	995.683082577516	455.963497705277
TCGA-86-8056-01A	215.70364359283	1406.73312545685	1622.43676904968
TCGA-05-4422-01A	-369.541230902913	2002.197026148	1632.65579524509
TCGA-55-6978-01A	1603.36400833266	2570.84223636185	4174.20624469451
TCGA-55-7816-01A	1695.02279866599	2164.14464259897	3859.16744126496
TCGA-49-AARO-01A	865.531899204413	2283.91331927554	3149.44521847995
TCGA-55-6983-01A	659.925128899223	1911.75215606403	2571.67728496325
TCGA-86-7714-01A	226.198868927026	1342.10129481387	1568.30016374089
TCGA-86-8074-01A	890.408685130974	1466.36147501055	2356.77016014153
TCGA-78-7143-01A	-528.88240324391	1335.3025221278	806.420118883893
TCGA-55-8620-01A	-745.87188108273	1118.18231456532	372.310433482594
TCGA-75-6207-01A	-349.277397447891	790.610371107371	441.332973659479
TCGA-55-8092-01A	420.345148328912	2072.66504656765	2493.01019489656
TCGA-50-5068-01A	853.14939333156	2470.40838391029	3323.55777724185
TCGA-86-8281-01A	-49.7833489852117	768.161536934565	718.378187949354
TCGA-78-7159-01A	200.432611138249	801.106534884898	1001.53914602315
TCGA-MP-A4T6-01A	-860.087704371905	1428.54409932627	568.456394954364
TCGA-55-8085-01A	73.8245424788131	1913.97648866161	1987.80103114043
TCGA-55-7227-01A	976.357724344937	2054.88970920155	3031.24743354649
TCGA-97-A4M5-01A	760.830848690141	1763.93896722811	2524.76981591825
TCGA-49-4486-01A	-1128.53654390121	256.367072537182	-872.169471364025
TCGA-55-8514-01A	-184.489918793465	1157.89216979791	973.402251004446
TCGA-55-8094-01A	-1629.79217338305	-486.727242603217	-2116.51941598627
