"gene","HR","z","pvalue","lower","upper","degree"
"CD200R1",0.640497593755677,-3.7705268082433,0.000162903301023101,0.508092793073319,0.807405995911488,27
"F2",1.22688543830224,3.60865193988629,0.000307792229625068,1.09792321040695,1.37099558917254,29
"CCR2",0.771388647035109,-3.54741254804291,0.000389034883087798,0.66833025203842,0.890338934919931,63
"MS4A1",0.84162540123548,-3.47358565197912,0.000513553422386575,0.763602394805877,0.927620605727481,52
"IL16",0.741021953604841,-3.29043272009516,0.00100033420398289,0.619862341770111,0.885863680888015,21
"ICAM3",0.721136232635481,-3.17508905920729,0.00149790520353455,0.589348568840986,0.882393703003982,21
"JCHAIN",0.877228112846958,-3.12641121991507,0.00176953924119118,0.808070937999838,0.952303969591825,24
"P2RY13",0.812374212237757,-3.03350351864727,0.00241731892243471,0.710311829092698,0.929101605349712,21
"FCRLA",0.822780983239381,-2.97056580666704,0.00297251712971462,0.723417862052312,0.935791859575912,26
"CD19",0.825241750119164,-2.96223947735058,0.00305410142958212,0.726753591121313,0.937076822818286,84
"PIK3CG",0.77766369935277,-2.9289534363962,0.00340105367286643,0.657223577312514,0.920175188729524,21
"BTK",0.810856993426011,-2.87929460053234,0.00398565827594169,0.703010382303027,0.935248013882767,74
"CD79A",0.879938124654719,-2.85805698394106,0.00426243838402808,0.806044811401272,0.960605529951609,55
"IRF4",0.825872925482899,-2.85073508931204,0.00436182929283765,0.724083476245317,0.941971625402207,59
"BTLA",0.716628802181982,-2.82504487542581,0.00472739946250436,0.568722076824355,0.903001415004661,47
